iter	Logloss
0	0.6885511762
1	0.6851807632
2	0.68232347
3	0.6799555927
4	0.675955361
5	0.6733432896
6	0.6710505102
7	0.6688291044
8	0.6659275409
9	0.6642777035
10	0.6632653559
11	0.6613373554
12	0.6594257135
13	0.6580701041
14	0.6570268019
15	0.6558394677
16	0.6546634067
17	0.6533464667
18	0.6516051391
19	0.6501920598
20	0.6491048135
21	0.6478067114
22	0.6470494662
23	0.645982402
24	0.6447196752
25	0.6442495484
26	0.6434830643
27	0.6427840344
28	0.6418215982
29	0.6408126811
30	0.6398686751
31	0.6387331416
32	0.6377317565
33	0.6364491776
34	0.6356719201
35	0.6348664967
36	0.6345142726
37	0.6337781378
38	0.6328795734
39	0.6322163088
40	0.6315753255
41	0.630626687
42	0.629948393
43	0.6294413037
44	0.6290421343
45	0.6285376731
46	0.6280497574
47	0.6271316016
48	0.6265255143
49	0.6257007871
50	0.6252924538
51	0.6247066385
52	0.6241577315
53	0.6236356227
54	0.6231661427
55	0.6226997695
56	0.6221730766
57	0.6215676867
58	0.6211556062
59	0.6206960194
60	0.62008981
61	0.6195727411
62	0.6191174577
63	0.6185131266
64	0.6179861985
65	0.6174657859
66	0.6170875215
67	0.6167201519
68	0.6160874921
69	0.6155267944
70	0.6151685043
71	0.6146233227
72	0.6140422313
73	0.6135497842
74	0.6131159703
75	0.6127058753
76	0.6121594322
77	0.6116559973
78	0.6110517603
79	0.6105570115
80	0.6101005812
81	0.6096366063
82	0.6092416681
83	0.6090272234
84	0.6086764555
85	0.6082720454
86	0.6079628219
87	0.6076110449
88	0.6073522829
89	0.607007704
90	0.6066561271
91	0.6063348007
92	0.6060741337
93	0.6056400702
94	0.6053407883
95	0.6050675985
96	0.6048106713
97	0.6044021553
98	0.6040758121
99	0.6037880256
100	0.6035800657
101	0.6033128155
102	0.6028802679
103	0.6025662689
104	0.6023221213
105	0.6020533823
106	0.6017296005
107	0.6014602111
108	0.600716387
109	0.6003730571
110	0.6001027892
111	0.599755244
112	0.5995282102
113	0.5991395143
114	0.5989044968
115	0.5986233044
116	0.5982943387
117	0.5980865218
118	0.5978265081
119	0.5975933525
120	0.5973228073
121	0.5970949606
122	0.5967938426
123	0.5965133753
124	0.5962548262
125	0.5959246477
126	0.5956380756
127	0.5953513484
128	0.5950779311
129	0.5946997393
130	0.5944496288
131	0.5941958436
132	0.5938678432
133	0.5935788037
134	0.5933583216
135	0.5931003909
136	0.5926603889
137	0.5924264459
138	0.5921981576
139	0.5919270558
140	0.5915387734
141	0.5913167739
142	0.5911041633
143	0.5909131842
144	0.5906219395
145	0.590363249
146	0.5900884609
147	0.589809695
148	0.5894694516
149	0.5893033653
