iter	Passed	Remaining
0	119	17849
1	210	15559
2	308	15111
3	407	14879
4	515	14956
5	612	14703
6	716	14629
7	822	14596
8	918	14389
9	1031	14438
10	1150	14534
11	1245	14323
12	1347	14201
13	1445	14046
14	1544	13904
15	1644	13774
16	1738	13604
17	1840	13494
18	1944	13409
19	2040	13263
20	2166	13309
21	2262	13166
22	2365	13064
23	2461	12920
24	2565	12825
25	2679	12777
26	2783	12679
27	2895	12614
28	2993	12491
29	3088	12355
30	3193	12259
31	3298	12164
32	3395	12037
33	3499	11941
34	3598	11824
35	3695	11702
36	3798	11601
37	3910	11526
38	4018	11436
39	4127	11349
40	4235	11259
41	4337	11154
42	4438	11045
43	4543	10944
44	4653	10857
45	4742	10721
46	4837	10601
47	4948	10516
48	5045	10399
49	5150	10301
50	5260	10211
51	5361	10103
52	5463	10000
53	5566	9896
54	5668	9791
55	5776	9696
56	5898	9624
57	5998	9515
58	6098	9406
59	6219	9329
60	6338	9247
61	6439	9139
62	6545	9038
63	6651	8938
64	6751	8829
65	6868	8741
66	6966	8630
67	7076	8533
68	7181	8430
69	7287	8328
70	7400	8234
71	7500	8125
72	7602	8019
73	7706	7914
74	7810	7810
75	7917	7709
76	8025	7608
77	8124	7499
78	8221	7388
79	8329	7288
80	8450	7198
81	8554	7094
82	8661	6991
83	8768	6889
84	8876	6787
85	8983	6685
86	9092	6583
87	9197	6480
88	9299	6373
89	9413	6275
90	9538	6184
91	9641	6078
92	9746	5973
93	9857	5872
94	9957	5765
95	10056	5656
96	10162	5552
97	10269	5449
98	10375	5344
99	10496	5248
100	10603	5144
101	10706	5038
102	10820	4937
103	10926	4832
104	11025	4725
105	11129	4619
106	11233	4514
107	11329	4405
108	11440	4303
109	11541	4196
110	11654	4094
111	11764	3991
112	11869	3886
113	11976	3782
114	12079	3676
115	12183	3570
116	12287	3465
117	12397	3362
118	12501	3256
119	12615	3153
120	12743	3054
121	12851	2949
122	12959	2844
123	13066	2739
124	13170	2634
125	13273	2528
126	13388	2424
127	13493	2319
128	13592	2212
129	13709	2109
130	13831	2006
131	13938	1900
132	14038	1794
133	14151	1689
134	14251	1583
135	14360	1478
136	14466	1372
137	14568	1266
138	14672	1161
139	14785	1056
140	14902	951
141	15004	845
142	15120	740
143	15228	634
144	15331	528
145	15437	422
146	15537	317
147	15642	211
148	15749	105
149	15855	0
