iter	Passed	Remaining
0	107	16006
1	205	15236
2	300	14703
3	400	14615
4	495	14382
5	602	14471
6	699	14297
7	797	14155
8	895	14027
9	1007	14100
10	1130	14291
11	1220	14034
12	1313	13837
13	1419	13786
14	1526	13741
15	1634	13690
16	1731	13544
17	1834	13453
18	1933	13332
19	2046	13301
20	2147	13194
21	2248	13079
22	2348	12966
23	2449	12861
24	2550	12750
25	2656	12671
26	2749	12523
27	2846	12403
28	2935	12249
29	3038	12152
30	3165	12151
31	3278	12089
32	3386	12005
33	3489	11903
34	3624	11910
35	3723	11791
36	3837	11720
37	3947	11635
38	4049	11524
39	4166	11459
40	4282	11384
41	4408	11335
42	4515	11237
43	4631	11156
44	4737	11053
45	4845	10953
46	4945	10837
47	5049	10730
48	5152	10620
49	5247	10494
50	5357	10399
51	5476	10320
52	5585	10222
53	5686	10108
54	5790	10002
55	5894	9894
56	6006	9800
57	6115	9700
58	6225	9601
59	6333	9500
60	6454	9417
61	6558	9309
62	6674	9217
63	6795	9130
64	6906	9031
65	7013	8926
66	7118	8818
67	7219	8706
68	7322	8595
69	7430	8491
70	7536	8385
71	7642	8278
72	7746	8171
73	7848	8061
74	7960	7960
75	8061	7849
76	8168	7744
77	8270	7634
78	8374	7526
79	8490	7429
80	8610	7334
81	8714	7226
82	8819	7119
83	8926	7013
84	9059	6928
85	9176	6828
86	9291	6728
87	9396	6620
88	9503	6513
89	9607	6404
90	9724	6305
91	9832	6198
92	9933	6088
93	10044	5984
94	10152	5877
95	10259	5770
96	10368	5665
97	10482	5562
98	10591	5456
99	10707	5353
100	10823	5250
101	10935	5146
102	11033	5034
103	11136	4925
104	11243	4818
105	11349	4711
106	11456	4604
107	11574	4501
108	11673	4391
109	11773	4281
110	11898	4180
111	12000	4071
112	12103	3963
113	12212	3856
114	12323	3750
115	12434	3644
116	12558	3542
117	12675	3437
118	12779	3329
119	12889	3222
120	13004	3116
121	13117	3010
122	13228	2903
123	13337	2796
124	13441	2688
125	13558	2582
126	13666	2475
127	13777	2367
128	13879	2259
129	13990	2152
130	14124	2048
131	14231	1940
132	14348	1833
133	14461	1726
134	14578	1619
135	14676	1510
136	14781	1402
137	14886	1294
138	14988	1186
139	15091	1077
140	15207	970
141	15316	862
142	15427	755
143	15540	647
144	15654	539
145	15757	431
146	15867	323
147	15976	215
148	16075	107
149	16186	0
