iter	Passed	Remaining
0	106	15929
1	210	15549
2	311	15254
3	412	15050
4	510	14808
5	607	14582
6	708	14479
7	805	14291
8	902	14137
9	990	13873
10	1094	13829
11	1177	13541
12	1264	13327
13	1375	13362
14	1476	13284
15	1571	13160
16	1673	13090
17	1770	12985
18	1870	12894
19	1986	12913
20	2106	12942
21	2195	12770
22	2294	12668
23	2387	12532
24	2491	12458
25	2590	12353
26	2694	12273
27	2788	12148
28	2874	11993
29	2981	11925
30	3095	11882
31	3205	11818
32	3306	11723
33	3403	11611
34	3504	11514
35	3612	11440
36	3710	11332
37	3804	11213
38	3891	11074
39	3994	10985
40	4090	10875
41	4191	10777
42	4282	10656
43	4385	10565
44	4473	10438
45	4587	10371
46	4692	10284
47	4796	10192
48	4897	10094
49	5003	10007
50	5097	9895
51	5198	9797
52	5297	9696
53	5402	9605
54	5504	9507
55	5606	9410
56	5696	9294
57	5795	9192
58	5897	9096
59	6004	9006
60	6110	8915
61	6207	8811
62	6317	8723
63	6435	8647
64	6537	8549
65	6635	8444
66	6731	8339
67	6833	8240
68	6933	8139
69	7029	8033
70	7130	7933
71	7232	7834
72	7349	7751
73	7445	7646
74	7541	7541
75	7653	7451
76	7758	7355
77	7858	7254
78	7950	7145
79	8054	7048
80	8154	6946
81	8263	6852
82	8360	6748
83	8467	6653
84	8569	6553
85	8670	6452
86	8770	6351
87	8875	6253
88	8979	6154
89	9087	6058
90	9191	5959
91	9291	5857
92	9398	5760
93	9498	5658
94	9601	5558
95	9693	5452
96	9792	5350
97	9894	5249
98	9994	5148
99	10107	5053
100	10204	4950
101	10319	4856
102	10422	4756
103	10525	4655
104	10629	4555
105	10745	4460
106	10849	4360
107	10952	4259
108	11057	4159
109	11159	4058
110	11262	3957
111	11377	3860
112	11481	3759
113	11583	3657
114	11679	3554
115	11789	3455
116	11894	3354
117	12000	3254
118	12104	3153
119	12208	3052
120	12329	2954
121	12431	2853
122	12530	2750
123	12630	2648
124	12727	2545
125	12825	2442
126	12922	2340
127	13019	2237
128	13122	2136
129	13225	2034
130	13330	1933
131	13435	1832
132	13540	1730
133	13653	1630
134	13761	1529
135	13876	1428
136	13986	1327
137	14083	1224
138	14194	1123
139	14298	1021
140	14404	919
141	14506	817
142	14601	714
143	14705	612
144	14809	510
145	14914	408
146	15018	306
147	15123	204
148	15224	102
149	15340	0
