iter	Logloss
0	0.690397113
1	0.6876882152
2	0.6853739443
3	0.6837513642
4	0.6816847304
5	0.679929891
6	0.6786102939
7	0.6773342962
8	0.6761984289
9	0.6741220414
10	0.673086307
11	0.6713561597
12	0.6697286997
13	0.6687603315
14	0.6675625205
15	0.6666903229
16	0.6656924313
17	0.6650667137
18	0.6642225824
19	0.6628509545
20	0.6617711552
21	0.6607020698
22	0.6600744451
23	0.6596885205
24	0.658726187
25	0.6580282192
26	0.6571207713
27	0.6565341338
28	0.6560318848
29	0.6555447392
30	0.6552900514
31	0.6545062768
32	0.6540144742
33	0.6535538796
34	0.6531429759
35	0.6523513273
36	0.6518627168
37	0.6511463858
38	0.6504037007
39	0.6500764015
40	0.649622489
41	0.6489058679
42	0.6486262871
43	0.6480408714
44	0.6477059459
45	0.6472901711
46	0.6468036744
47	0.6465495544
48	0.6461128897
49	0.6456104703
50	0.6450141062
51	0.6445187037
52	0.6441641308
53	0.6437419878
54	0.6433418883
55	0.64264784
56	0.6420575616
57	0.6415476392
58	0.6411749779
59	0.6406447016
60	0.6400397418
61	0.6394597929
62	0.6390602076
63	0.6386657015
64	0.6383159786
65	0.6379118947
66	0.6375107489
67	0.6370607434
68	0.6366148449
69	0.6362552444
70	0.6359044656
71	0.6355744603
72	0.6352012504
73	0.6349232778
74	0.6346517093
75	0.6342343762
76	0.633992522
77	0.6337322955
78	0.6332744675
79	0.6328523624
80	0.6325185869
81	0.632273583
82	0.631913919
83	0.6315672225
84	0.6311370744
85	0.6308646902
86	0.6305980085
87	0.6303247386
88	0.6299358693
89	0.6296443062
90	0.6293581198
91	0.6290216509
92	0.6287445645
93	0.6284481856
94	0.6282102913
95	0.6280120097
96	0.6277023049
97	0.6274327204
98	0.6272234554
99	0.6270184838
100	0.6266936762
101	0.6263287259
102	0.6260366014
103	0.6258342313
104	0.6255921824
105	0.6253860056
106	0.6251925604
107	0.6248986223
108	0.6246521586
109	0.6243750276
110	0.6240463411
111	0.6237513598
112	0.6235326681
113	0.6233059898
114	0.6230083793
115	0.622691999
116	0.6224954774
117	0.6222828127
118	0.6220357007
119	0.6217509625
120	0.621470176
121	0.6212976239
122	0.6209724747
123	0.6208209144
124	0.6206114815
125	0.6203342046
126	0.6201535614
127	0.61994986
128	0.6196960925
129	0.61940771
130	0.6193444323
131	0.619131646
132	0.61893185
133	0.618813573
134	0.6185446832
135	0.618260326
136	0.6180474263
137	0.617843676
138	0.6176293688
139	0.6173646141
140	0.6171505358
141	0.6169105305
142	0.6167682223
143	0.616641948
144	0.6164964953
145	0.6162736254
146	0.6161016899
147	0.6158733139
148	0.6156316915
149	0.6153435304
