iter	Passed	Remaining
0	118	17660
1	231	17141
2	329	16156
3	431	15758
4	526	15262
5	629	15104
6	726	14837
7	823	14610
8	943	14777
9	1047	14660
10	1148	14508
11	1248	14358
12	1353	14262
13	1452	14113
14	1557	14014
15	1668	13974
16	1777	13902
17	1873	13735
18	1985	13688
19	2099	13648
20	2196	13493
21	2303	13401
22	2398	13243
23	2521	13240
24	2636	13184
25	2743	13086
26	2834	12914
27	2947	12841
28	3052	12738
29	3146	12584
30	3245	12457
31	3351	12358
32	3472	12310
33	3562	12153
34	3665	12044
35	3764	11919
36	3857	11782
37	3953	11651
38	4060	11556
39	4178	11491
40	4292	11412
41	4392	11294
42	4505	11210
43	4603	11091
44	4708	10987
45	4814	10885
46	4909	10759
47	5012	10651
48	5120	10555
49	5227	10454
50	5329	10344
51	5434	10242
52	5561	10178
53	5660	10062
54	5768	9964
55	5871	9855
56	5984	9763
57	6088	9657
58	6195	9555
59	6298	9447
60	6399	9336
61	6503	9230
62	6611	9130
63	6721	9032
64	6835	8938
65	6948	8842
66	7059	8745
67	7174	8651
68	7287	8555
69	7393	8449
70	7511	8357
71	7621	8256
72	7758	8183
73	7868	8081
74	7970	7970
75	8079	7867
76	8190	7765
77	8302	7663
78	8405	7554
79	8528	7462
80	8663	7379
81	8775	7277
82	8887	7174
83	8991	7064
84	9105	6963
85	9212	6856
86	9325	6752
87	9442	6652
88	9554	6548
89	9660	6440
90	9769	6333
91	9870	6222
92	9986	6120
93	10113	6025
94	10226	5920
95	10348	5820
96	10489	5731
97	10597	5623
98	10700	5512
99	10808	5404
100	10923	5299
101	11031	5191
102	11146	5086
103	11257	4979
104	11377	4876
105	11493	4770
106	11602	4662
107	11712	4554
108	11821	4446
109	11930	4338
110	12047	4233
111	12165	4127
112	12278	4020
113	12383	3910
114	12508	3806
115	12624	3700
116	12731	3591
117	12848	3484
118	12958	3375
119	13064	3266
120	13191	3161
121	13294	3051
122	13403	2942
123	13527	2836
124	13632	2726
125	13741	2617
126	13853	2508
127	13969	2400
128	14088	2293
129	14195	2183
130	14305	2074
131	14411	1965
132	14527	1856
133	14634	1747
134	14734	1637
135	14837	1527
136	14951	1418
137	15059	1309
138	15172	1200
139	15294	1092
140	15399	982
141	15512	873
142	15614	764
143	15730	655
144	15840	546
145	15952	437
146	16066	327
147	16175	218
148	16285	109
149	16396	0
