iter	Logloss
0	0.6850806772
1	0.6793647536
2	0.6738126177
3	0.6710841426
4	0.6679966464
5	0.6643438957
6	0.661346246
7	0.6588185417
8	0.6567059888
9	0.6550584178
10	0.6524126645
11	0.6505188808
12	0.6487449686
13	0.6459390795
14	0.6437053677
15	0.6417102495
16	0.6403475157
17	0.6391348001
18	0.6382122819
19	0.6368101808
20	0.6357011317
21	0.6343991533
22	0.6334169116
23	0.6319206865
24	0.6306906291
25	0.6296751956
26	0.6287843723
27	0.6281750943
28	0.6275378837
29	0.6263554835
30	0.6257660229
31	0.6249951265
32	0.6244996215
33	0.6242098583
34	0.6235058272
35	0.6231316263
36	0.6223253954
37	0.6217222665
38	0.6212943893
39	0.6204464642
40	0.6200460678
41	0.6196165057
42	0.6190613719
43	0.6188710886
44	0.6181978185
45	0.6177315708
46	0.6171973468
47	0.6168362418
48	0.6162295603
49	0.6158610805
50	0.6154178106
51	0.615016429
52	0.6145867335
53	0.6141567138
54	0.6137419819
55	0.6134128169
56	0.6130128685
57	0.6124846772
58	0.6120595804
59	0.6116015644
60	0.6112873557
61	0.6109941885
62	0.6106232595
63	0.6101816967
64	0.609685205
65	0.6092839272
66	0.6090011021
67	0.6087305863
68	0.6082727585
69	0.6079589525
70	0.6075038918
71	0.6071386788
72	0.6067837452
73	0.6064366131
74	0.606213081
75	0.6057422434
76	0.6054613881
77	0.605219448
78	0.6048974678
79	0.6046587717
80	0.6042925418
81	0.6039971024
82	0.6038054725
83	0.6034932456
84	0.6031069026
85	0.6028895955
86	0.6027079808
87	0.6024293684
88	0.6020229917
89	0.6016615651
90	0.60141241
91	0.6011508651
92	0.6008092752
93	0.6005604973
94	0.6002944404
95	0.6000824416
96	0.5998333754
97	0.5995204484
98	0.5992945959
99	0.5990476595
100	0.5988241925
101	0.598599404
102	0.5983160087
103	0.5981340657
104	0.597922486
105	0.5976566392
106	0.5973691598
107	0.5971345869
108	0.5968790315
109	0.5965895658
110	0.5963484223
111	0.5960610813
112	0.5958353268
113	0.5956319459
114	0.5954173886
115	0.5951121537
116	0.5948054123
117	0.5945919222
118	0.5942647399
119	0.5939280123
120	0.5936627669
121	0.5933902472
122	0.5931325424
123	0.5929328568
124	0.5927163221
125	0.5925218351
126	0.5923446217
127	0.5921691883
128	0.5920587815
129	0.5918181463
130	0.5916490786
131	0.5914413201
132	0.5913266248
133	0.5910711695
134	0.5908844862
135	0.5906295303
136	0.5904262292
137	0.5902108715
138	0.5899614508
139	0.5896771007
140	0.589508188
141	0.5892703758
142	0.5890267082
143	0.5888013247
144	0.5886139092
145	0.5883973116
146	0.5881725721
147	0.5879526047
148	0.5878036244
149	0.5876218137
