iter	Passed	Remaining
0	113	16839
1	220	16297
2	328	16076
3	451	16488
4	555	16123
5	649	15590
6	755	15441
7	847	15039
8	938	14707
9	1031	14443
10	1125	14216
11	1222	14057
12	1341	14138
13	1450	14095
14	1562	14063
15	1652	13839
16	1753	13714
17	1850	13571
18	1971	13592
19	2075	13491
20	2174	13359
21	2280	13270
22	2382	13155
23	2471	12977
24	2580	12902
25	2676	12763
26	2774	12641
27	2871	12512
28	2967	12381
29	3077	12308
30	3178	12201
31	3272	12068
32	3382	11991
33	3495	11926
34	3600	11829
35	3693	11696
36	3808	11630
37	3906	11512
38	4014	11425
39	4108	11298
40	4208	11187
41	4317	11103
42	4438	11043
43	4537	10930
44	4639	10825
45	4727	10688
46	4827	10578
47	4927	10470
48	5073	10457
49	5158	10316
50	5259	10210
51	5377	10134
52	5483	10035
53	5586	9932
54	5702	9850
55	5804	9742
56	5896	9619
57	5995	9510
58	6095	9401
59	6206	9310
60	6325	9228
61	6437	9137
62	6536	9026
63	6648	8933
64	6755	8833
65	6849	8717
66	6949	8609
67	7055	8508
68	7159	8404
69	7264	8302
70	7372	8202
71	7473	8096
72	7623	8041
73	7723	7931
74	7828	7828
75	7937	7728
76	8043	7625
77	8150	7523
78	8254	7418
79	8360	7315
80	8463	7209
81	8571	7107
82	8665	6994
83	8764	6886
84	8882	6792
85	8988	6688
86	9088	6581
87	9191	6475
88	9293	6369
89	9422	6281
90	9522	6174
91	9620	6064
92	9729	5963
93	9832	5857
94	9922	5744
95	10018	5635
96	10139	5540
97	10248	5437
98	10370	5342
99	10473	5236
100	10580	5133
101	10682	5026
102	10777	4918
103	10875	4810
104	10982	4706
105	11082	4600
106	11188	4496
107	11284	4388
108	11412	4292
109	11521	4189
110	11625	4084
111	11732	3980
112	11834	3874
113	11930	3767
114	12039	3664
115	12139	3558
116	12247	3454
117	12351	3349
118	12450	3243
119	12561	3140
120	12669	3036
121	12774	2931
122	12876	2826
123	12980	2721
124	13093	2618
125	13194	2513
126	13294	2407
127	13406	2304
128	13508	2199
129	13614	2094
130	13725	1990
131	13828	1885
132	13940	1781
133	14043	1676
134	14152	1572
135	14263	1468
136	14386	1365
137	14496	1260
138	14596	1155
139	14693	1049
140	14798	944
141	14907	839
142	15019	735
143	15125	630
144	15248	525
145	15366	420
146	15474	315
147	15587	210
148	15693	105
149	15795	0
