iter	Logloss
0	0.6829912615
1	0.6737055715
2	0.6694209423
3	0.6655694763
4	0.6619030982
5	0.6578817593
6	0.6552682892
7	0.6536671162
8	0.6511545157
9	0.649099702
10	0.646839857
11	0.6447852016
12	0.6427896628
13	0.640545913
14	0.6395637804
15	0.6377709682
16	0.6364575704
17	0.6350781891
18	0.6342658437
19	0.6329772279
20	0.6322585895
21	0.6312049562
22	0.6304212364
23	0.629246525
24	0.6283940681
25	0.6278231736
26	0.6272637713
27	0.6265569403
28	0.6256765841
29	0.6245661501
30	0.6238715481
31	0.623367811
32	0.6227407168
33	0.6223329826
34	0.6211921397
35	0.6207847501
36	0.6203354986
37	0.6198590738
38	0.6192992549
39	0.6185422509
40	0.6179325604
41	0.6173089955
42	0.6169724879
43	0.6164815637
44	0.6160595854
45	0.615749795
46	0.6152820245
47	0.6150319882
48	0.6146185137
49	0.613955482
50	0.6134231658
51	0.6127752688
52	0.612376094
53	0.6118429451
54	0.6115209129
55	0.6110527845
56	0.610466919
57	0.6100075076
58	0.6095158984
59	0.6089961413
60	0.6084665853
61	0.6080279625
62	0.6077105674
63	0.6074203968
64	0.6068354443
65	0.6064230064
66	0.6059822834
67	0.6057026637
68	0.6054862912
69	0.6050145469
70	0.6047131746
71	0.6044929683
72	0.6042293796
73	0.6039684372
74	0.6036584828
75	0.6033956606
76	0.603080379
77	0.6025886593
78	0.6022186103
79	0.6019944947
80	0.6017438564
81	0.6014816344
82	0.6011573066
83	0.6007539781
84	0.600431472
85	0.6001374833
86	0.5998196013
87	0.5995638174
88	0.5992771442
89	0.5989810956
90	0.5985816062
91	0.5982056564
92	0.5978599398
93	0.5975486316
94	0.5972536976
95	0.5969255007
96	0.5966513
97	0.5964094248
98	0.5961052672
99	0.5957537893
100	0.595502871
101	0.5952806235
102	0.5950424909
103	0.5948206124
104	0.5944580966
105	0.5942313256
106	0.5940036857
107	0.5938371679
108	0.5935333881
109	0.5932887346
110	0.5931579589
111	0.5929209124
112	0.5926916931
113	0.5925335617
114	0.5921638423
115	0.591977155
116	0.5917127575
117	0.5913862817
118	0.5911137071
119	0.5909386602
120	0.5907106592
121	0.5904539538
122	0.59022631
123	0.590090451
124	0.5899035026
125	0.5896441184
126	0.5894232091
127	0.5891993059
128	0.5891154227
129	0.5888357998
130	0.588672138
131	0.5884501785
132	0.5881121247
133	0.5878901836
134	0.5876205931
135	0.587357232
136	0.5871128301
137	0.5868953045
138	0.5866625049
139	0.5864947491
140	0.5862749635
141	0.5860592177
142	0.5858249914
143	0.5855487186
144	0.5853146007
145	0.5851140829
146	0.584938271
147	0.5845870011
148	0.5844091843
149	0.5841851619
