iter	Passed	Remaining
0	101	15144
1	196	14540
2	281	13771
3	379	13863
4	468	13575
5	561	13483
6	650	13296
7	729	12951
8	814	12761
9	902	12631
10	1009	12754
11	1099	12639
12	1197	12624
13	1286	12498
14	1385	12467
15	1480	12395
16	1581	12370
17	1664	12209
18	1773	12226
19	1874	12182
20	1966	12078
21	2085	12133
22	2173	12000
23	2268	11909
24	2367	11836
25	2460	11735
26	2554	11636
27	2659	11588
28	2762	11528
29	2861	11446
30	2968	11394
31	3068	11316
32	3168	11234
33	3268	11150
34	3367	11063
35	3465	10974
36	3568	10897
37	3658	10784
38	3753	10681
39	3860	10615
40	3952	10507
41	4058	10435
42	4154	10336
43	4243	10222
44	4333	10110
45	4435	10027
46	4533	9935
47	4629	9838
48	4720	9730
49	4822	9645
50	4914	9539
51	5031	9483
52	5135	9398
53	5214	9271
54	5317	9185
55	5413	9086
56	5505	8983
57	5607	8894
58	5697	8787
59	5797	8696
60	5899	8607
61	5997	8512
62	6095	8417
63	6198	8329
64	6291	8226
65	6392	8136
66	6488	8038
67	6580	7935
68	6688	7851
69	6778	7746
70	6877	7652
71	6974	7556
72	7082	7470
73	7180	7374
74	7277	7277
75	7378	7184
76	7477	7089
77	7584	7000
78	7682	6904
79	7778	6806
80	7876	6709
81	7994	6629
82	8089	6529
83	8190	6435
84	8297	6345
85	8387	6241
86	8481	6141
87	8593	6054
88	8690	5956
89	8793	5862
90	8906	5774
91	9008	5679
92	9100	5577
93	9216	5490
94	9316	5393
95	9416	5296
96	9516	5199
97	9618	5103
98	9710	5002
99	9813	4906
100	9908	4807
101	10014	4712
102	10115	4615
103	10211	4516
104	10315	4420
105	10415	4323
106	10499	4219
107	10598	4121
108	10702	4025
109	10798	3926
110	10888	3825
111	11007	3734
112	11107	3636
113	11199	3536
114	11304	3440
115	11404	3342
116	11499	3243
117	11607	3147
118	11702	3048
119	11797	2949
120	11905	2853
121	12009	2756
122	12111	2658
123	12220	2562
124	12316	2463
125	12422	2366
126	12532	2269
127	12630	2170
128	12723	2071
129	12828	1973
130	12947	1877
131	13041	1778
132	13141	1679
133	13247	1581
134	13369	1485
135	13472	1386
136	13569	1287
137	13676	1189
138	13775	1090
139	13870	990
140	13963	891
141	14069	792
142	14167	693
143	14270	594
144	14379	495
145	14478	396
146	14578	297
147	14682	198
148	14784	99
149	14887	0
