iter	Logloss
0	0.6916440179
1	0.6901022785
2	0.6883742634
3	0.6861597434
4	0.6836993181
5	0.6817106765
6	0.6803701858
7	0.679256947
8	0.6778253059
9	0.6764096796
10	0.6747955977
11	0.6731357755
12	0.6720335229
13	0.6709786105
14	0.6691712409
15	0.6676231692
16	0.6657566053
17	0.6648981237
18	0.6638635299
19	0.6630653627
20	0.6625222919
21	0.6613287674
22	0.6600811026
23	0.6583027014
24	0.6570124601
25	0.6558725626
26	0.6544848231
27	0.6529757684
28	0.6514101665
29	0.649908364
30	0.6481896412
31	0.6468573343
32	0.6454007893
33	0.6445752398
34	0.6428146139
35	0.6420222737
36	0.6408721344
37	0.6401401072
38	0.6392220976
39	0.6385924216
40	0.6378007758
41	0.6368625294
42	0.6356661592
43	0.6344909013
44	0.6332674612
45	0.6317001956
46	0.630295926
47	0.6292065375
48	0.6283507371
49	0.6270059396
50	0.6260094344
51	0.6250805592
52	0.623939348
53	0.6228812804
54	0.621495235
55	0.6201469044
56	0.6193124899
57	0.6187038672
58	0.6175835521
59	0.6165840932
60	0.6148879999
61	0.6128108173
62	0.6120285242
63	0.6109079468
64	0.6096857849
65	0.6083383368
66	0.6072051689
67	0.6061274446
68	0.6052856598
69	0.603807245
70	0.6027466539
71	0.6019196483
72	0.6006397467
73	0.5994175248
74	0.5978808357
75	0.5963961942
76	0.5955276942
77	0.594044114
78	0.5928067614
79	0.5915988926
80	0.5902570985
81	0.5889503766
82	0.5878208041
83	0.585887427
84	0.5845711632
85	0.5828133785
86	0.5815436106
87	0.5806212816
88	0.579685052
89	0.5778525873
90	0.5769828837
91	0.5756939263
92	0.5744296462
93	0.5730303792
94	0.5718482128
95	0.5708309808
96	0.5691880364
97	0.5684182942
98	0.5672273659
99	0.566255109
100	0.5648635238
101	0.5631260174
102	0.5617977095
103	0.5600869855
104	0.5587936539
105	0.5573820271
106	0.5558224719
107	0.5538736924
108	0.5530112892
109	0.5515536429
110	0.5499611384
111	0.5483585228
112	0.5469265217
113	0.5456467639
114	0.5442759331
115	0.5432161255
116	0.5420172913
117	0.5411407652
118	0.5398210046
119	0.5384929501
120	0.5375085349
121	0.5361357081
122	0.5347460885
123	0.5332439128
124	0.5322073857
125	0.5309649757
126	0.5293896019
127	0.5278506626
128	0.5264471038
129	0.5251466955
130	0.5235350452
131	0.5222626728
132	0.5212760885
133	0.5198851327
134	0.5184506117
135	0.5172338697
136	0.5157321813
137	0.5142900369
138	0.5130535674
139	0.5118985382
140	0.5106385994
141	0.5096238813
142	0.5083309727
143	0.5068780343
144	0.5054616643
145	0.5040460247
146	0.5033294024
147	0.5023972599
148	0.5012475174
149	0.4999516015
