iter	Passed	Remaining
0	35	5308
1	66	4892
2	103	5085
3	134	4925
4	175	5075
5	205	4942
6	239	4889
7	273	4849
8	316	4961
9	351	4918
10	398	5034
11	437	5029
12	486	5127
13	520	5057
14	557	5019
15	589	4935
16	644	5041
17	689	5056
18	723	4989
19	756	4916
20	802	4929
21	835	4863
22	868	4793
23	901	4731
24	944	4720
25	975	4652
26	1006	4586
27	1038	4523
28	1079	4505
29	1110	4443
30	1141	4381
31	1172	4322
32	1211	4294
33	1241	4236
34	1273	4184
35	1304	4130
36	1346	4112
37	1378	4064
38	1409	4012
39	1440	3961
40	1479	3933
41	1510	3885
42	1543	3839
43	1573	3791
44	1613	3763
45	1643	3716
46	1675	3671
47	1705	3625
48	1748	3604
49	1780	3561
50	1811	3517
51	1842	3473
52	1884	3449
53	1920	3413
54	1951	3370
55	1982	3327
56	2023	3301
57	2053	3257
58	2084	3215
59	2115	3173
60	2163	3155
61	2193	3113
62	2223	3070
63	2254	3029
64	2295	3002
65	2328	2963
66	2362	2926
67	2392	2885
68	2432	2855
69	2464	2817
70	2495	2776
71	2526	2736
72	2567	2708
73	2600	2670
74	2631	2631
75	2661	2591
76	2704	2564
77	2737	2526
78	2767	2487
79	2800	2450
80	2844	2423
81	2878	2386
82	2909	2348
83	2939	2309
84	2982	2280
85	3014	2243
86	3044	2204
87	3075	2166
88	3117	2136
89	3148	2098
90	3178	2060
91	3210	2024
92	3253	1993
93	3283	1956
94	3318	1921
95	3354	1886
96	3394	1854
97	3425	1817
98	3456	1780
99	3488	1744
100	3528	1711
101	3559	1675
102	3590	1638
103	3621	1601
104	3659	1568
105	3690	1531
106	3721	1495
107	3753	1459
108	3794	1427
109	3826	1391
110	3858	1355
111	3891	1320
112	3932	1287
113	3963	1251
114	3994	1215
115	4025	1179
116	4065	1146
117	4095	1110
118	4127	1075
119	4157	1039
120	4197	1006
121	4228	970
122	4259	935
123	4289	899
124	4334	866
125	4366	831
126	4396	796
127	4428	761
128	4467	727
129	4498	692
130	4530	657
131	4561	622
132	4603	588
133	4635	553
134	4666	518
135	4697	483
136	4739	449
137	4770	414
138	4801	380
139	4834	345
140	4876	311
141	4910	276
142	4942	241
143	4973	207
144	5015	172
145	5046	138
146	5077	103
147	5108	69
148	5150	34
149	5181	0
