iter	Passed	Remaining
0	119	17785
1	214	15864
2	316	15522
3	416	15194
4	525	15231
5	626	15028
6	719	14695
7	824	14634
8	918	14394
9	1022	14320
10	1125	14224
11	1228	14127
12	1317	13883
13	1416	13763
14	1518	13668
15	1652	13836
16	1764	13800
17	1881	13799
18	2008	13849
19	2123	13802
20	2233	13718
21	2324	13524
22	2408	13301
23	2508	13170
24	2619	13097
25	2725	12997
26	2828	12883
27	2918	12716
28	3028	12634
29	3135	12541
30	3240	12438
31	3335	12299
32	3427	12153
33	3516	11997
34	3612	11870
35	3709	11747
36	3806	11626
37	3910	11526
38	4021	11446
39	4119	11328
40	4209	11191
41	4312	11089
42	4408	10970
43	4512	10869
44	4618	10775
45	4722	10676
46	4819	10562
47	4919	10454
48	5046	10402
49	5150	10300
50	5255	10201
51	5351	10086
52	5458	9989
53	5557	9879
54	5660	9776
55	5760	9669
56	5862	9565
57	5947	9434
58	6045	9324
59	6150	9225
60	6257	9129
61	6352	9016
62	6461	8923
63	6560	8815
64	6681	8737
65	6791	8643
66	6884	8528
67	6990	8430
68	7086	8318
69	7194	8222
70	7293	8115
71	7393	8009
72	7493	7903
73	7589	7794
74	7700	7700
75	7804	7598
76	7910	7499
77	8017	7400
78	8117	7295
79	8219	7192
80	8334	7099
81	8437	6996
82	8534	6889
83	8641	6789
84	8743	6686
85	8839	6577
86	8942	6475
87	9055	6379
88	9162	6280
89	9261	6174
90	9366	6072
91	9470	5970
92	9584	5874
93	9676	5764
94	9775	5659
95	9865	5549
96	9985	5455
97	10083	5350
98	10183	5246
99	10282	5141
100	10380	5036
101	10481	4932
102	10590	4832
103	10690	4728
104	10795	4626
105	10898	4524
106	11011	4425
107	11127	4327
108	11229	4223
109	11339	4123
110	11451	4023
111	11558	3921
112	11682	3825
113	11809	3729
114	11939	3633
115	12064	3536
116	12167	3431
117	12277	3329
118	12381	3225
119	12482	3120
120	12586	3016
121	12683	2910
122	12801	2810
123	12918	2708
124	13039	2607
125	13147	2504
126	13245	2398
127	13349	2294
128	13457	2190
129	13562	2086
130	13669	1982
131	13769	1877
132	13865	1772
133	13993	1670
134	14099	1566
135	14197	1461
136	14301	1357
137	14396	1251
138	14496	1147
139	14610	1043
140	14713	939
141	14822	835
142	14926	730
143	15040	626
144	15151	522
145	15257	418
146	15353	313
147	15457	208
148	15563	104
149	15663	0
