iter	Logloss
0	0.6845912688
1	0.676974884
2	0.6715913987
3	0.6666217784
4	0.6610091262
5	0.6578340697
6	0.6546824246
7	0.6507665658
8	0.6477404877
9	0.6455117566
10	0.6434198629
11	0.6415727376
12	0.6401902741
13	0.6382289521
14	0.6361818098
15	0.6349504147
16	0.6338080889
17	0.6318668848
18	0.6304645422
19	0.6293062267
20	0.6281561085
21	0.6265955831
22	0.6259673615
23	0.6250795114
24	0.6240440297
25	0.6232537772
26	0.6227350307
27	0.6220153674
28	0.6210662696
29	0.620133583
30	0.6193898756
31	0.6187549774
32	0.6182772243
33	0.6178038469
34	0.6168610249
35	0.6165705327
36	0.6162786124
37	0.6159126489
38	0.6155156655
39	0.6150321131
40	0.614684513
41	0.6143868694
42	0.6141039475
43	0.6136106688
44	0.6134212661
45	0.6131985322
46	0.6130528045
47	0.6125650442
48	0.6122644447
49	0.6119148886
50	0.6116483734
51	0.6111504073
52	0.6108588534
53	0.6105199986
54	0.6102009634
55	0.6099208482
56	0.6096555136
57	0.6094002351
58	0.6090640527
59	0.6087953239
60	0.6085002255
61	0.6081988622
62	0.6077567145
63	0.6074517575
64	0.6071781732
65	0.606900828
66	0.6066449471
67	0.6062793118
68	0.6060208245
69	0.6055019619
70	0.6052305958
71	0.604977272
72	0.6046651282
73	0.6044016145
74	0.6040583809
75	0.6038185162
76	0.6034543729
77	0.6031570868
78	0.602813968
79	0.6025314092
80	0.6023307802
81	0.6021744767
82	0.602008441
83	0.6016830989
84	0.6013826483
85	0.6010977842
86	0.6007158522
87	0.6004429254
88	0.6002063225
89	0.599831534
90	0.5996581318
91	0.5993665518
92	0.5991148494
93	0.5988646288
94	0.598723666
95	0.5984665812
96	0.5981816634
97	0.5978901551
98	0.5977017858
99	0.597444478
100	0.5972486552
101	0.5969902776
102	0.5968629325
103	0.5966804914
104	0.5964276279
105	0.5962077609
106	0.5959405607
107	0.5958163994
108	0.595511448
109	0.5953141231
110	0.5950455048
111	0.5948876236
112	0.5945814466
113	0.5943862271
114	0.5942120184
115	0.594080427
116	0.5938261961
117	0.5935666366
118	0.5933213377
119	0.5931808605
120	0.5929622126
121	0.5927123277
122	0.592526244
123	0.5923234052
124	0.5921270141
125	0.5918957416
126	0.5917351624
127	0.5915210986
128	0.5913607179
129	0.5911901571
130	0.5909610805
131	0.5906808398
132	0.5904395382
133	0.5902033701
134	0.590051719
135	0.5897330645
136	0.5895542509
137	0.5893599487
138	0.5892380555
139	0.589145083
140	0.5888960977
141	0.5887248624
142	0.5885305022
143	0.5882681121
144	0.5880424508
145	0.587944301
146	0.5877468837
147	0.5874828699
148	0.5873036418
149	0.5871314324
