iter	Passed	Remaining
0	116	17307
1	217	16059
2	315	15476
3	415	15182
4	508	14751
5	599	14391
6	681	13920
7	776	13783
8	877	13746
9	972	13619
10	1076	13607
11	1166	13410
12	1247	13144
13	1346	13080
14	1439	12953
15	1544	12931
16	1643	12860
17	1740	12765
18	1826	12595
19	1920	12480
20	2054	12619
21	2158	12559
22	2245	12398
23	2340	12287
24	2427	12135
25	2523	12034
26	2618	11929
27	2711	11813
28	2805	11705
29	2900	11600
30	3001	11520
31	3120	11508
32	3216	11405
33	3302	11266
34	3398	11167
35	3495	11067
36	3579	10931
37	3690	10875
38	3784	10770
39	3881	10674
40	3975	10568
41	4086	10508
42	4179	10401
43	4301	10361
44	4396	10258
45	4499	10172
46	4593	10065
47	4698	9985
48	4808	9911
49	4912	9824
50	5011	9727
51	5113	9637
52	5208	9531
53	5310	9441
54	5422	9365
55	5520	9265
56	5620	9169
57	5717	9069
58	5819	8975
59	5917	8876
60	6021	8785
61	6131	8702
62	6228	8601
63	6354	8538
64	6467	8457
65	6571	8363
66	6666	8258
67	6774	8169
68	6876	8072
69	6972	7969
70	7084	7883
71	7186	7784
72	7285	7684
73	7384	7584
74	7484	7484
75	7587	7387
76	7689	7290
77	7788	7189
78	7890	7091
79	8007	7006
80	8125	6921
81	8223	6819
82	8325	6720
83	8428	6622
84	8533	6525
85	8635	6426
86	8729	6321
87	8838	6226
88	8944	6130
89	9052	6034
90	9152	5933
91	9262	5839
92	9366	5740
93	9473	5643
94	9566	5538
95	9676	5442
96	9792	5350
97	9893	5249
98	10004	5153
99	10111	5055
100	10210	4953
101	10312	4852
102	10410	4750
103	10512	4649
104	10609	4547
105	10713	4447
106	10804	4341
107	10902	4239
108	10993	4135
109	11099	4036
110	11200	3935
111	11309	3837
112	11425	3741
113	11520	3637
114	11620	3536
115	11719	3434
116	11817	3333
117	11921	3232
118	12032	3134
119	12139	3034
120	12247	2935
121	12345	2833
122	12443	2731
123	12543	2630
124	12643	2528
125	12750	2428
126	12845	2326
127	12958	2227
128	13078	2128
129	13190	2029
130	13294	1928
131	13395	1826
132	13502	1725
133	13606	1624
134	13705	1522
135	13801	1420
136	13906	1319
137	14011	1218
138	14109	1116
139	14204	1014
140	14314	913
141	14419	812
142	14531	711
143	14643	610
144	14758	508
145	14854	406
146	14954	305
147	15071	203
148	15174	101
149	15274	0
