iter	Passed	Remaining
0	113	16922
1	218	16196
2	328	16120
3	422	15421
4	522	15152
5	627	15071
6	728	14888
7	831	14750
8	925	14496
9	1015	14218
10	1122	14186
11	1224	14087
12	1316	13878
13	1407	13670
14	1497	13479
15	1591	13329
16	1697	13283
17	1805	13242
18	1900	13102
19	2005	13038
20	2112	12974
21	2208	12848
22	2318	12799
23	2421	12711
24	2515	12579
25	2616	12478
26	2714	12367
27	2815	12269
28	2905	12122
29	3002	12009
30	3102	11907
31	3197	11789
32	3294	11679
33	3401	11604
34	3496	11487
35	3604	11414
36	3723	11371
37	3831	11293
38	3929	11184
39	4034	11094
40	4130	10980
41	4222	10857
42	4327	10767
43	4430	10674
44	4535	10583
45	4650	10513
46	4760	10433
47	4857	10321
48	4963	10230
49	5049	10098
50	5145	9987
51	5243	9882
52	5335	9764
53	5440	9671
54	5546	9579
55	5665	9510
56	5777	9426
57	5880	9327
58	5988	9236
59	6092	9139
60	6187	9027
61	6286	8922
62	6384	8816
63	6481	8709
64	6593	8622
65	6695	8521
66	6815	8442
67	6916	8340
68	7017	8237
69	7121	8138
70	7224	8038
71	7324	7934
72	7430	7838
73	7535	7739
74	7650	7650
75	7744	7541
76	7866	7458
77	7981	7367
78	8092	7272
79	8199	7174
80	8300	7070
81	8403	6968
82	8497	6859
83	8610	6765
84	8712	6662
85	8821	6564
86	8936	6471
87	9064	6386
88	9189	6298
89	9324	6216
90	9428	6112
91	9542	6015
92	9652	5915
93	9754	5811
94	9859	5708
95	9969	5607
96	10084	5510
97	10220	5423
98	10337	5325
99	10467	5233
100	10588	5137
101	10703	5036
102	10814	4934
103	10914	4827
104	11018	4722
105	11119	4615
106	11229	4512
107	11344	4411
108	11456	4309
109	11570	4207
110	11697	4110
111	11807	4006
112	11913	3900
113	12014	3794
114	12118	3688
115	12229	3584
116	12333	3478
117	12433	3371
118	12535	3265
119	12648	3162
120	12756	3057
121	12872	2954
122	12977	2848
123	13087	2744
124	13197	2639
125	13296	2532
126	13403	2427
127	13511	2322
128	13630	2218
129	13745	2114
130	13853	2009
131	13963	1904
132	14088	1800
133	14191	1694
134	14302	1589
135	14400	1482
136	14506	1376
137	14618	1271
138	14733	1165
139	14835	1059
140	14944	953
141	15056	848
142	15155	741
143	15265	636
144	15373	530
145	15469	423
146	15583	318
147	15692	212
148	15798	106
149	15903	0
