iter	Logloss
0	0.687724359
1	0.6810667415
2	0.6745677005
3	0.669466072
4	0.6656940307
5	0.6626179197
6	0.6586885524
7	0.6563964358
8	0.6543239134
9	0.6522459989
10	0.6509434464
11	0.6490609563
12	0.6472706798
13	0.6459027406
14	0.6449838219
15	0.6433920348
16	0.6417539138
17	0.6406851093
18	0.6394810036
19	0.6384184514
20	0.6374850461
21	0.6371206359
22	0.6365059192
23	0.6353879101
24	0.6342462236
25	0.6332771423
26	0.6323163747
27	0.6318639115
28	0.6317099602
29	0.6312527748
30	0.6305973765
31	0.6299771184
32	0.629629683
33	0.629029187
34	0.6286294528
35	0.6281429618
36	0.6276735386
37	0.6274340291
38	0.6269042864
39	0.6265581461
40	0.6262916657
41	0.6260735966
42	0.6257733047
43	0.6254454895
44	0.6251182
45	0.624824717
46	0.6245612138
47	0.6241688575
48	0.6234654777
49	0.6231167574
50	0.6227914077
51	0.6222473739
52	0.6220277522
53	0.6218094457
54	0.6215107877
55	0.6212051715
56	0.6208225865
57	0.6203631677
58	0.6199314659
59	0.6196409492
60	0.6193189705
61	0.6189964718
62	0.6186637063
63	0.6182979189
64	0.6179549185
65	0.6176231942
66	0.6173317128
67	0.616979549
68	0.6167348842
69	0.6164179551
70	0.6160491512
71	0.6158022116
72	0.6155541466
73	0.6152806087
74	0.6150552041
75	0.6147188514
76	0.6143581391
77	0.6141004544
78	0.6137626794
79	0.6134745961
80	0.6132489848
81	0.6130334816
82	0.6127471107
83	0.6125080959
84	0.6122627643
85	0.6119796762
86	0.6117197339
87	0.6115078291
88	0.6112753697
89	0.6110339292
90	0.6108434698
91	0.6105799368
92	0.610411307
93	0.6101452914
94	0.6098795281
95	0.6096288379
96	0.6092895367
97	0.6090917109
98	0.6087624151
99	0.6084973242
100	0.6082909815
101	0.6081884887
102	0.6079837268
103	0.6077278976
104	0.6075365569
105	0.6073291769
106	0.607132039
107	0.6068915539
108	0.6066627585
109	0.606476256
110	0.6062508651
111	0.6059019173
112	0.6057119468
113	0.605423301
114	0.6052635386
115	0.6049669137
116	0.60479951
117	0.6045426271
118	0.604321164
119	0.6041411939
120	0.6038979765
121	0.6036714222
122	0.6034830397
123	0.6032877428
124	0.6030872342
125	0.6028625869
126	0.6026690619
127	0.6024632995
128	0.6021975837
129	0.6020278061
130	0.6018110719
131	0.6016368867
132	0.6014439137
133	0.6012256408
134	0.600987423
135	0.600776933
136	0.6005521778
137	0.600315952
138	0.6001006599
139	0.5998767533
140	0.5997072097
141	0.5995024856
142	0.5993757777
143	0.5991799
144	0.5990119635
145	0.5988224802
146	0.5986550606
147	0.5984704381
148	0.5983240957
149	0.5980903463
