iter	Passed	Remaining
0	115	17140
1	219	16249
2	319	15675
3	412	15071
4	514	14914
5	608	14610
6	710	14505
7	803	14268
8	893	13993
9	984	13779
10	1076	13598
11	1182	13593
12	1275	13444
13	1374	13348
14	1474	13268
15	1583	13259
16	1679	13139
17	1769	12976
18	1879	12955
19	1990	12937
20	2103	12919
21	2223	12937
22	2363	13050
23	2459	12909
24	2560	12803
25	2652	12651
26	2745	12507
27	2841	12380
28	2935	12248
29	3026	12104
30	3130	12015
31	3241	11953
32	3325	11789
33	3423	11679
34	3513	11543
35	3604	11415
36	3710	11333
37	3809	11228
38	3905	11114
39	4005	11016
40	4115	10940
41	4216	10841
42	4315	10739
43	4415	10638
44	4523	10554
45	4646	10505
46	4746	10401
47	4837	10279
48	4937	10176
49	5043	10086
50	5146	9990
51	5241	9878
52	5339	9773
53	5449	9688
54	5548	9584
55	5652	9488
56	5739	9363
57	5844	9270
58	5941	9164
59	6049	9074
60	6171	9003
61	6262	8888
62	6364	8789
63	6468	8691
64	6566	8586
65	6677	8498
66	6777	8395
67	6875	8290
68	6973	8186
69	7086	8098
70	7191	8001
71	7287	7894
72	7392	7797
73	7495	7698
74	7598	7598
75	7701	7499
76	7798	7393
77	7902	7294
78	7996	7186
79	8112	7098
80	8218	7001
81	8321	6900
82	8427	6803
83	8527	6700
84	8629	6599
85	8730	6497
86	8816	6384
87	8914	6280
88	9035	6192
89	9144	6096
90	9255	6000
91	9356	5898
92	9463	5799
93	9564	5698
94	9667	5596
95	9772	5497
96	9900	5409
97	10003	5307
98	10110	5208
99	10218	5109
100	10321	5007
101	10424	4905
102	10524	4802
103	10626	4700
104	10735	4601
105	10843	4500
106	10944	4398
107	11055	4299
108	11166	4200
109	11276	4100
110	11377	3997
111	11491	3898
112	11599	3797
113	11712	3698
114	11818	3596
115	11920	3494
116	12028	3392
117	12131	3289
118	12242	3189
119	12342	3085
120	12454	2984
121	12563	2883
122	12665	2780
123	12770	2677
124	12878	2575
125	12985	2473
126	13092	2371
127	13208	2270
128	13317	2168
129	13422	2065
130	13529	1962
131	13635	1859
132	13733	1755
133	13839	1652
134	13940	1548
135	14058	1447
136	14160	1343
137	14271	1240
138	14370	1137
139	14478	1034
140	14581	930
141	14685	827
142	14778	723
143	14878	619
144	14985	516
145	15092	413
146	15194	310
147	15297	206
148	15403	103
149	15506	0
