iter	Passed	Remaining
0	127	18966
1	229	17012
2	348	17083
3	466	17037
4	585	16981
5	718	17247
6	832	17016
7	949	16851
8	1078	16892
9	1210	16951
10	1331	16826
11	1444	16606
12	1563	16472
13	1685	16369
14	1820	16386
15	1968	16483
16	2080	16275
17	2187	16040
18	2298	15846
19	2408	15655
20	2540	15607
21	2643	15382
22	2758	15234
23	2871	15074
24	2977	14886
25	3106	14813
26	3219	14664
27	3328	14503
28	3440	14355
29	3545	14183
30	3678	14122
31	3792	13984
32	3914	13879
33	4020	13718
34	4117	13529
35	4245	13444
36	4351	13288
37	4461	13150
38	4565	12994
39	4675	12856
40	4795	12748
41	4912	12631
42	5020	12493
43	5133	12367
44	5259	12272
45	5412	12237
46	5523	12104
47	5634	11974
48	5741	11835
49	5860	11721
50	5986	11621
51	6117	11529
52	6238	11417
53	6374	11333
54	6524	11269
55	6643	11151
56	6762	11034
57	6886	10922
58	6999	10795
59	7149	10724
60	7287	10633
61	7431	10548
62	7549	10425
63	7650	10280
64	7799	10199
65	7923	10085
66	8037	9957
67	8143	9819
68	8255	9691
69	8379	9576
70	8516	9476
71	8619	9338
72	8738	9217
73	8852	9092
74	8969	8969
75	9081	8842
76	9197	8719
77	9306	8590
78	9432	8476
79	9561	8366
80	9677	8243
81	9785	8114
82	9904	7994
83	10019	7872
84	10144	7757
85	10260	7635
86	10371	7510
87	10487	7388
88	10606	7269
89	10717	7145
90	10850	7035
91	10975	6919
92	11082	6792
93	11202	6673
94	11307	6546
95	11433	6431
96	11544	6307
97	11660	6187
98	11771	6063
99	11897	5948
100	12018	5830
101	12142	5714
102	12258	5593
103	12386	5478
104	12494	5354
105	12632	5243
106	12742	5120
107	12863	5002
108	12973	4880
109	13084	4757
110	13205	4639
111	13327	4521
112	13441	4401
113	13561	4282
114	13685	4165
115	13825	4052
116	13964	3938
117	14089	3820
118	14205	3700
119	14332	3583
120	14472	3468
121	14600	3350
122	14724	3232
123	14850	3113
124	14990	2998
125	15135	2882
126	15261	2763
127	15392	2645
128	15520	2526
129	15637	2405
130	15767	2286
131	15919	2170
132	16038	2050
133	16159	1929
134	16309	1812
135	16454	1693
136	16587	1574
137	16715	1453
138	16862	1334
139	16992	1213
140	17141	1094
141	17265	972
142	17412	852
143	17534	730
144	17679	609
145	17819	488
146	17946	366
147	18059	244
148	18185	122
149	18303	0
